subject,age_group,age,run,n_pairs,auc,accuracy,precision_within,recall_within,f1_within,tn,fp,fn,tp
temple064,child,7.361643836,3,66,0.7438271604938271,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple064,child,7.361643836,4,66,0.6774691358024691,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple065,child,9.452054795,1,66,0.839506172839506,0.803030303030303,0.47058823529411764,0.6666666666666666,0.5517241379310345,45,9,4,8
temple065,child,9.452054795,2,66,0.8580246913580246,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple065,child,9.452054795,3,66,0.7638888888888888,0.7878787878787878,0.4444444444444444,0.6666666666666666,0.5333333333333333,44,10,4,8
temple065,child,9.452054795,4,66,0.603395061728395,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple066,child,9.97260274,1,66,0.7175925925925926,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple066,child,9.97260274,2,66,0.7669753086419753,0.7727272727272727,0.42105263157894735,0.6666666666666666,0.5161290322580646,43,11,4,8
temple066,child,9.97260274,3,66,0.8194444444444444,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple066,child,9.97260274,4,66,0.5617283950617284,0.7424242424242424,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4
temple068,child,9.764383562,1,66,0.6820987654320988,0.6515151515151515,0.23809523809523808,0.4166666666666667,0.30303030303030304,38,16,7,5
temple068,child,9.764383562,2,66,0.6805555555555556,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple068,child,9.764383562,3,66,0.7175925925925926,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple068,child,9.764383562,4,66,0.7993827160493827,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple069,child,9.673972603,1,66,0.6651234567901234,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple069,child,9.673972603,2,66,0.5895061728395062,0.6818181818181818,0.2631578947368421,0.4166666666666667,0.3225806451612903,40,14,7,5
temple069,child,9.673972603,3,66,0.7685185185185185,0.7424242424242424,0.3684210526315789,0.5833333333333334,0.4516129032258065,42,12,5,7
temple069,child,9.673972603,4,66,0.6450617283950618,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple070,child,7.473972603,1,66,0.5787037037037036,0.5909090909090909,0.2,0.4166666666666667,0.2702702702702703,34,20,7,5
temple070,child,7.473972603,2,66,0.5,0.6363636363636364,0.16666666666666666,0.25,0.2,39,15,9,3
temple070,child,7.473972603,3,66,0.7222222222222222,0.696969696969697,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5
temple070,child,7.473972603,4,66,0.5833333333333334,0.696969696969697,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5
temple079,child,10.7890411,1,66,0.6851851851851852,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple079,child,10.7890411,2,66,0.6682098765432098,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple079,child,10.7890411,3,66,0.5185185185185185,0.6515151515151515,0.21052631578947367,0.3333333333333333,0.2580645161290323,39,15,8,4
temple079,child,10.7890411,4,66,0.6450617283950617,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple082,child,11.36712329,1,66,0.4922839506172839,0.6212121212121212,0.15789473684210525,0.25,0.1935483870967742,38,16,9,3
temple082,child,11.36712329,2,66,0.6635802469135803,0.5757575757575758,0.25,0.6666666666666666,0.36363636363636365,30,24,4,8
